[GA PARAMETERS] (Generation - Population - Crossover(%) - Mutation(%) - Elitism Rate(%) - Nugget/Sill Max(%))
5
100
90
10
1
30

[SA PARAMETERS] (Number of iterations - Initial Temperature  # Recomendation: 500 - 500)
500
500

[GEOESTATISTICAL PARAMETERS] (Min/Max: Angle - Tolerance(half-window) - Bandwidth(h) - Lag Distance- Number of Lags
0/180
10/90
10/150
10/100
5/50

[DATA]
621.24 939.47	45.62
624.82	939.08	42.17
629.82	938.8	44.86
637.46	871.68	49.06
622.3	911.17	46.01
627.29	910.9	47.85
631.84	911.65	44.97
643.26	939.27	49.2
639.68	939.66	49.33
621.12	940.88	40.86
615.73	864.46	49.23
623.29	863.35	43.39
631.26	873.63	47.99
630.1	870.69	47.52
632.79	872.34	45.35
632.39	868.76	48.23
634.83	869.32	47.05
637.39	868.48	47.25
639.44	869.37	46.2
624.86	873.78	48.21
627.15	871.85	47.9
621.78	872.44	46.64
618.84	873.6	49.64
619.02	871.49	47.88
616.21	871.24	48.4
616.4	873.04	48.67
613.44	866.39	45.9
618.43	866.12	46.56
642.26	869.62	47.99
640.7	863.09	47.16
637.11	863.49	47.66
634.24	863.95	43.09
627.89	863.39	44.76
630.94	863.12	47.46
617.73	922.84	48.21
627.74	930.1	47.66
621.19	923.85	47.03
620.3	925.9	46.64
626.72	933.56	49.75
618.64	928.6	47.58
618.84	930.39	37.23
618.59	933.21	47.44
622.76	934.28	45.19
636.33	933.34	49.11
636.57	930.52	48.78
635.79	927.26	50.41
633.89	932.77	44.86
634.14	929.95	48.34
634.5	921.82	50.14
634.23	918.78	47.56
635.12	918.68	45.6
630.24	913.64	43.92
625.63	913.59	43.92
620.64	913.87	47.6
631.11	924.01	48.57
619.63	917.33	49.83
626.37	921.46	48.89
621.95	921.25	48.69
627.46	925.11	47.08
624	924.1	48.43
644	930.82	48.24
643.6	927.23	49.72
644.23	924.09	48.01
640.4	927.31	48.73
641.42	923.85	49.72
640.5	918.09	46.92
638.5	932.82	46.31
638.61	927.5	45.32
639.75	922.64	49.81
638.14	918.76	48.48
634.47	914.01	47.36
636.06	912.02	44.94
588.03	868.78	49.25
590.2	868.26	49.45
591.86	865.57	48.76
594.81	868.31	46.37
598.78	867.59	46.89
601.6	867.84	49.12
609.73	868.19	46.04
583.16	887.87	45.77
586.42	866.86	49.33
597.49	866.06	49.39
606.07	865.39	48.92
588.56	911.41	44.25
587.57	902.46	43.04
